name,email,postalZip,address
Kim Bass,lectus.pede@google.edu,91578-69072,952-4641 Adipiscing St.
Lucy Atkins,pellentesque.habitant@aol.edu,5443-4789,Ap #597-3206 Ipsum Rd.
Cecilia Yang,mi.aliquam.gravida@aol.ca,382186,"P.O. Box 356, 1754 Dui. St."
Felix Eaton,morbi.neque.tellus@google.org,FG6U 6BM,Ap #665-9063 Luctus Road
Cecilia Conner,eu.turpis.nulla@hotmail.net,655856,1871 Arcu. Rd.
Meredith Conner,sem.ut@aol.net,327478,797-7306 Aenean Ave
Whilemina Steele,pharetra.felis.eget@outlook.couk,123851,Ap #517-1017 Elit. Ave
Amal Davidson,mus.donec@yahoo.couk,02956-47816,Ap #480-5157 Sed Road
Conan Mcguire,arcu.vivamus@outlook.couk,367273,"6149 Lobortis, St."
Octavius Alvarez,nunc.ut.erat@protonmail.edu,60424-55021,Ap #198-6572 Consectetuer Road
Edan Miller,morbi.tristique@outlook.edu,8055 EQ,218-2508 Aliquam Av.
Alea Mitchell,mollis.dui.in@outlook.couk,5546,8089 Non Road
Daphne Chaney,enim.nunc.ut@yahoo.couk,491263,Ap #574-3338 Cras Avenue
Nigel Graham,posuere@google.com,05781,610-3383 Cum Street
Roth House,cum.sociis@protonmail.com,207756,Ap #554-3141 Arcu Rd.
Jonah Shannon,ac@outlook.org,0257 PS,"P.O. Box 886, 1936 Purus Street"
Delilah Hendricks,felis@google.net,51456,Ap #587-3185 Feugiat. Ave
Unity Keller,aliquam.ornare@aol.com,7860,619-2721 Augue Road
Jane Velez,ut.semper@hotmail.ca,9773,659-2690 Praesent Avenue
Kenyon Faulkner,at.pretium.aliquet@aol.net,93882-574,881-8087 Cursus Avenue
